Unnamed: 0,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,Processed_Reviews,Category,Processed_Sentiment
14,1077,50,Pretty party dress with some issues,This is a nice choice for holiday gatherings. i like that the length grazes the knee so it is conservative enough for office related gatherings. the size small fit me well - i am usually a size 2/4 with a small bust. in my opinion it runs small and those with larger busts will definitely have to size up (but then perhaps the waist will be too big). the problem with this dress is the quality. the fabrics are terrible. the delicate netting type fabric on the top layer of skirt got stuck in the zip,3,1,1,General,Dresses,Dresses,"['nice', 'choice', 'holiday', 'gatherings', 'like', 'length', 'grazes', 'knee', 'conservative', 'enough', 'office', 'related', 'gatherings', 'size', 'small', 'fit', 'well', 'usually', 'size', 'small', 'bust', 'opinion', 'runs', 'small', 'larger', 'busts', 'definitely', 'size', 'perhaps', 'waist', 'big', 'problem', 'dress', 'quality', 'fabrics', 'terrible', 'delicate', 'netting', 'type', 'fabric', 'top', 'layer', 'skirt', 'got', 'stuck', 'zip']",Quality,Good
15,1065,47,"Nice, but not for my body","I took these out of the package and wanted them to fit so badly, but i could tell before i put them on that they wouldn't. these are for an hour-glass figure. i am more straight up and down. the waist was way too small for my body shape and even if i sized up, i could tell they would still be tight in the waist and too roomy in the hips - for me. that said, they are really nice. sturdy, linen-like fabric, pretty color, well made. i hope they make someone very happy!",4,1,3,General,Bottoms,Pants,"['took', 'package', 'wanted', 'fit', 'badly', 'could', 'tell', 'put', 'would', 'figure', 'straight', 'waist', 'way', 'small', 'body', 'shape', 'even', 'sized', 'could', 'tell', 'would', 'still', 'tight', 'waist', 'roomy', 'hips', 'said', 'really', 'nice', 'sturdy', 'fabric', 'pretty', 'color', 'well', 'made', 'hope', 'make', 'someone', 'happy']",Quality,Good
16,1065,34,"You need to be at least average height, or taller","Material and color is nice.  the leg opening is very large.  i am 5'1 (100#) and the length hits me right above my ankle.  with a leg opening the size of my waist and hem line above my ankle, and front pleats to make me fluffy, i think you can imagine that it is not a flattering look.  if you are at least average height or taller, this may look good on you.",3,1,2,General,Bottoms,Pants,"['material', 'color', 'nice', 'leg', 'opening', 'large', 'length', 'hits', 'right', 'ankle', 'leg', 'opening', 'size', 'waist', 'hem', 'line', 'ankle', 'front', 'pleats', 'make', 'fluffy', 'think', 'imagine', 'flattering', 'look', 'least', 'average', 'height', 'taller', 'may', 'look', 'good']",Quality,Good
17,853,41,Looks great with white pants,Took a chance on this blouse and so glad i did. i wasn't crazy about how the blouse is photographed on the model. i paired it whit white pants and it worked perfectly. crisp and clean is how i would describe it. launders well. fits great. drape is perfect. wear tucked in or out - can't go wrong.,5,1,0,General,Tops,Blouses,"['took', 'chance', 'blouse', 'glad', 'crazy', 'blouse', 'photographed', 'model', 'paired', 'whit', 'white', 'pants', 'worked', 'perfectly', 'crisp', 'clean', 'would', 'describe', 'launders', 'well', 'fits', 'great', 'drape', 'perfect', 'wear', 'tucked', 'ca', 'go', 'wrong']",Other,Good
18,1120,32,Super cute and cozy,"A flattering, super cozy coat.  will work well for cold, dry days and will look good with jeans or a dressier outfit.  i am 5' 5'', about 135 and the small fits great.",5,1,0,General,Jackets,Outerwear,"['flattering', 'super', 'cozy', 'coat', 'work', 'well', 'cold', 'dry', 'days', 'look', 'good', 'jeans', 'dressier', 'outfit', 'small', 'fits', 'great']",Other,Good
19,1077,47,Stylish and comfortable,"I love the look and feel of this tulle dress. i was looking for something different, but not over the top for new year's eve. i'm small chested and the top of this dress is form fitting for a flattering look. once i steamed the tulle, it was perfect! i ordered an xsp. length was perfect too.",5,1,0,General,Dresses,Dresses,"['love', 'look', 'feel', 'tulle', 'dress', 'looking', 'something', 'different', 'top', 'new', 'year', 'eve', 'small', 'chested', 'top', 'dress', 'form', 'fitting', 'flattering', 'look', 'steamed', 'tulle', 'perfect', 'ordered', 'xsp', 'length', 'perfect']",Quality,Good
20,847,33,"Cute, crisp shirt","If this product was in petite, i would get the petite. the regular is a little long on me but a tailor can do a simple fix on that. 

fits nicely! i'm 5'4, 130lb and pregnant so i bough t medium to grow into. 

the tie can be front or back so provides for some nice flexibility on form fitting.",4,1,2,General,Tops,Blouses,"['product', 'petite', 'would', 'get', 'petite', 'regular', 'little', 'long', 'tailor', 'simple', 'fix', 'fits', 'nicely', 'pregnant', 'bough', 'medium', 'grow', 'tie', 'front', 'back', 'provides', 'nice', 'flexibility', 'form', 'fitting']",Other,Good
21,1080,55,I'm torn!,"I'm upset because for the price of the dress, i thought it was embroidered! no, that is a print on the fabric. i think i cried a little when i opened the box. it is still ver pretty. i would say it is true to size, it is a tad bit big on me, but i am very tiny, but i can still get away with it. the color is vibrant. the style is unique. skirt portion is pretty poofy. i keep going back and forth on it mainly because of the price, although the quality is definitely there. except i wish it were emb",4,1,14,General,Dresses,Dresses,"['upset', 'price', 'dress', 'thought', 'embroidered', 'print', 'fabric', 'think', 'cried', 'little', 'opened', 'box', 'still', 'ver', 'pretty', 'would', 'say', 'true', 'size', 'tad', 'bit', 'big', 'tiny', 'still', 'get', 'away', 'color', 'vibrant', 'style', 'unique', 'skirt', 'portion', 'pretty', 'poofy', 'keep', 'going', 'back', 'forth', 'mainly', 'price', 'although', 'quality', 'definitely', 'except', 'wish', 'emb']",Both,Good
22,1077,31,Not what it looks like,"First of all, this is not pullover styling. there is a side zipper. i wouldn't have purchased it if i knew there was a side zipper because i have a large bust and side zippers are next to impossible for me.

second of all, the tulle feels and looks cheap and the slip has an awkward tight shape underneath.

not at all what is looks like or is described as. sadly will be returning, but i'm sure i will find something to exchange it for!",2,0,7,General,Dresses,Dresses,"['first', 'pullover', 'styling', 'side', 'zipper', 'would', 'purchased', 'knew', 'side', 'zipper', 'large', 'bust', 'side', 'zippers', 'next', 'impossible', 'second', 'tulle', 'feels', 'looks', 'cheap', 'slip', 'awkward', 'tight', 'shape', 'underneath', 'looks', 'like', 'described', 'sadly', 'returning', 'sure', 'find', 'something', 'exchange']",Quality,Good
23,1077,34,"Like it, but don't love it.","Cute little dress fits tts. it is a little high waisted. good length for my 5'9 height. i like the dress, i'm just not in love with it. i dont think it looks or feels cheap. it appears just as pictured.",3,1,0,General,Dresses,Dresses,"['cute', 'little', 'dress', 'fits', 'tts', 'little', 'high', 'waisted', 'good', 'length', 'height', 'like', 'dress', 'love', 'dont', 'think', 'looks', 'feels', 'cheap', 'appears', 'pictured']",Quality,Good
24,847,55,Versatile,"I love this shirt because when i first saw it, i wasn't sure if it was a shirt or dress. since it is see-through if you wear it like a dress you will need a slip or wear it with leggings. i bought a slip, wore the tie in the back, and rocked it with white wedges. you could also wear it as a vest. be careful with the buttons. i haven't had any fall off yet, but i feel like they will. overall it's great for any occasion and it's fun to wear!",5,1,0,General,Tops,Blouses,"['love', 'shirt', 'first', 'saw', 'sure', 'shirt', 'dress', 'since', 'wear', 'like', 'dress', 'need', 'slip', 'wear', 'leggings', 'bought', 'slip', 'wore', 'tie', 'back', 'rocked', 'white', 'wedges', 'could', 'also', 'wear', 'vest', 'careful', 'buttons', 'fall', 'yet', 'feel', 'like', 'overall', 'great', 'occasion', 'fun', 'wear']",Other,Good
25,697,31,Falls flat,"Loved the material, but i didnt really look at how long the dress was before i purchased both a large and a medium. im 5'5"" and there was atleast 5"" of material at my feet. the gaps in the front are much wider than they look. felt like the dress just fell flat. both were returned. im usually a large and the med fit better. 36d 30 in jeans",3,0,0,Initmates,Intimate,Lounge,"['loved', 'material', 'didnt', 'really', 'look', 'long', 'dress', 'purchased', 'large', 'medium', 'im', 'atleast', 'material', 'feet', 'gaps', 'front', 'much', 'wider', 'look', 'felt', 'like', 'dress', 'fell', 'flat', 'returned', 'im', 'usually', 'large', 'med', 'fit', 'better', 'jeans']",Quality,Good
26,949,33,Huge disappointment,I have been waiting for this sweater coat to ship for weeks and i was so excited for it to arrive. this coat is not true to size and made me look short and squat. the sleeves are very wide (although long). as a light weight fall coat the sleeves don't need to be as wide because you wouldn't be layerng too much underneath. the buttons need to be moved at least three inches in for a nicer fit. i thought about redoing the buttons myself but the sleeves looked even more out of proportion with a tigh,2,0,0,General,Tops,Sweaters,"['waiting', 'sweater', 'coat', 'ship', 'weeks', 'excited', 'arrive', 'coat', 'true', 'size', 'made', 'look', 'short', 'squat', 'sleeves', 'wide', 'although', 'long', 'light', 'weight', 'fall', 'coat', 'sleeves', 'need', 'wide', 'would', 'layerng', 'much', 'underneath', 'buttons', 'need', 'moved', 'least', 'three', 'inches', 'nicer', 'fit', 'thought', 'redoing', 'buttons', 'sleeves', 'looked', 'even', 'proportion', 'tigh']",Quality,Good
27,1003,31,"Loved, but returned","The colors weren't what i expected either. the dark blue is much more vibrant and i just couldn't find anything to really go with it. fabric is thick and good quality. has nice weight and movement to it. the skirt just wasn't for me, in the end.",4,1,0,General,Bottoms,Skirts,"['colors', 'expected', 'either', 'dark', 'blue', 'much', 'vibrant', 'could', 'find', 'anything', 'really', 'go', 'fabric', 'thick', 'good', 'quality', 'nice', 'weight', 'movement', 'skirt', 'end']",Quality,Good
28,684,53,Great shirt!!!,I have several of goodhyouman shirts and i get so many compliments on them. especially the one that says forehead kisses are underrated. don't hesitate. buy this shirt. you won't be sorry.....,5,1,2,Initmates,Intimate,Lounge,"['several', 'goodhyouman', 'shirts', 'get', 'many', 'compliments', 'especially', 'one', 'says', 'forehead', 'kisses', 'underrated', 'hesitate', 'buy', 'shirt', 'wo', 'sorry']",Other,Good
29,4,28,Great layering piece,"This sweater is so comfy and classic - it balances a quirky hand-knit look with a beautiful color and practical fit. it is a bit cropped and boxy as part of the style, and as others mentioned, there are gaps in the knit that make it see-through. in my opinion this makes it perfect for layering! i like having a longer camisole showing underneath, or wearing it over a little dress. it's warm but still thin enough to fit under a jacket or coat.",5,1,0,General,Tops,Sweaters,"['sweater', 'comfy', 'classic', 'balances', 'quirky', 'look', 'beautiful', 'color', 'practical', 'fit', 'bit', 'cropped', 'boxy', 'part', 'style', 'others', 'mentioned', 'gaps', 'knit', 'make', 'opinion', 'makes', 'perfect', 'layering', 'like', 'longer', 'camisole', 'showing', 'underneath', 'wearing', 'little', 'dress', 'warm', 'still', 'thin', 'enough', 'fit', 'jacket', 'coat']",Quality,Good
30,1060,33,,Beautifully made pants and on trend with the flared crop. so much cuter in person. love these!,5,1,0,General Petite,Bottoms,Pants,"['beautifully', 'made', 'pants', 'trend', 'flared', 'crop', 'much', 'cuter', 'person', 'love']",Quality,Good
31,1060,46,Cuter in oerson!,"I never would have given these pants a second look online, in person they are much cuter! the stripes are brighter and the fit more flattering. the crop has a cute flare which is right on trend. this brand has always run small for me, i am 5'8 about 140lbs and carry some chubbiness in the belly. i paired it with a collarless loose navy blazer",5,1,7,General Petite,Bottoms,Pants,"['never', 'would', 'given', 'pants', 'second', 'look', 'online', 'person', 'much', 'cuter', 'stripes', 'brighter', 'fit', 'flattering', 'crop', 'cute', 'flare', 'right', 'trend', 'brand', 'always', 'run', 'small', 'carry', 'chubbiness', 'belly', 'paired', 'collarless', 'loose', 'navy', 'blazer']",Quality,Good
32,1060,21,Love these pants,These pants are even better in person. the only downside is that they need to be dry cleaned.,5,1,0,General Petite,Bottoms,Pants,"['pants', 'even', 'better', 'person', 'downside', 'need', 'dry', 'cleaned']",Other,Good
33,949,36,Mehh,"I ordered this 3 months ago, and it finally came off back order. a huge disappointment. the fit wasn&#39;t so much the issue for me. the quality of the wool is subpar. someone else mentioned a &quot;felted wool&quot;...i guess, is that what you call it?  it does literally feel like felt! super thin, itchy, doesn&#39;t drape very well, and feels cheap (made in china). i got it on sale, but still not worth what i paid. definitely going back.",2,0,0,General,Tops,Sweaters,"['ordered', 'months', 'ago', 'finally', 'came', 'back', 'order', 'huge', 'disappointment', 'fit', 'much', 'issue', 'quality', 'wool', 'subpar', 'someone', 'else', 'mentioned', 'quot', 'felted', 'wool', 'quot', 'guess', 'call', 'literally', 'feel', 'like', 'felt', 'super', 'thin', 'itchy', 'drape', 'well', 'feels', 'cheap', 'made', 'china', 'got', 'sale', 'still', 'worth', 'paid', 'definitely', 'going', 'back']",Quality,Good
34,697,39,Love this dress!,"This is such a neat dress. the color is great and the fabric is super soft. i am tall so the long length was an added bonus. it definitely needs something underneath since the front gaps. i am going to pair it with a funky tank top, necklaces and boots. super cute!!",5,1,0,Initmates,Intimate,Lounge,"['neat', 'dress', 'color', 'great', 'fabric', 'super', 'soft', 'tall', 'long', 'length', 'added', 'bonus', 'definitely', 'needs', 'something', 'underneath', 'since', 'front', 'gaps', 'going', 'pair', 'funky', 'tank', 'top', 'necklaces', 'boots', 'super', 'cute']",Quality,Good
35,1060,65,Lovely!,"Wouldn't have given them a second look but tried them on in store of a whim. love, love!!",4,1,3,General Petite,Bottoms,Pants,"['would', 'given', 'second', 'look', 'tried', 'store', 'whim', 'love', 'love']",Other,Good
36,1002,29,,"This is a comfortable skirt that can span seasons easily. while not the most exciting design, it is a good work skirt that can be paired with many tops.",4,1,5,General,Bottoms,Skirts,"['comfortable', 'skirt', 'span', 'seasons', 'easily', 'exciting', 'design', 'good', 'work', 'skirt', 'paired', 'many', 'tops']",Other,Good
37,949,38,Beautifully cut lightweight coat,"Just ordered this in a small for me (5'6"", 135, size 4) and medium for my mom (5'3"", 130, size 8) and it is gorgeous - beautifully draped, all the weight/warmth i'll need for houston fall and winter, looks polished snapped or unsnapped. age-appropriate for both my mom (60's) and myself (30's). will look amazing with skinny jeans or leggings. we ordered the gray which is true to the photos.",5,1,1,General,Tops,Sweaters,"['ordered', 'small', 'size', 'medium', 'mom', 'size', 'gorgeous', 'beautifully', 'draped', 'need', 'houston', 'fall', 'winter', 'looks', 'polished', 'snapped', 'unsnapped', 'mom', 'look', 'amazing', 'skinny', 'jeans', 'leggings', 'ordered', 'gray', 'true', 'photos']",Quality,Good
38,684,36,,Super cute and comfy pull over. sizing is accurate. material has a little bit of stretch.,5,1,2,Initmates,Intimate,Lounge,"['super', 'cute', 'comfy', 'pull', 'sizing', 'accurate', 'material', 'little', 'bit', 'stretch']",Quality,Good
39,862,59,,Great casual top with flare. looks cute with grey pilcro stet jeans. flattering with peplum in back. nice cut for shoulders and neckline.,5,1,0,General,Tops,Knits,"['great', 'casual', 'top', 'flare', 'looks', 'cute', 'grey', 'pilcro', 'stet', 'jeans', 'flattering', 'peplum', 'back', 'nice', 'cut', 'shoulders', 'neckline']",Other,Good
40,862,47,,"Pretty and unique. great with jeans or i have worn it to work with slacks and heels. the colors, print, and embroidery are lovely. reasonably priced!",4,1,1,General,Tops,Knits,"['pretty', 'unique', 'great', 'jeans', 'worn', 'work', 'slacks', 'heels', 'colors', 'print', 'embroidery', 'lovely', 'reasonably', 'priced']",Other,Good
41,862,40,,"This is a beautiful top. it's unique and not so ordinary. i bought my usual medium and i found that it fits tight across my chest. although i had a baby this year and i am nursing, so that could be why. if i bought again i would size up.",5,1,0,General,Tops,Knits,"['beautiful', 'top', 'unique', 'ordinary', 'bought', 'usual', 'medium', 'found', 'fits', 'tight', 'across', 'chest', 'although', 'baby', 'year', 'nursing', 'could', 'bought', 'would', 'size']",Quality,Good
42,910,23,Soft & lovely,"This poncho is so cute i love the plaid check design, the colors look like sorbet & cream and it will pair well with a turtleneck and jeans or pencil skirt and heels. i love this look for fall and it can roll right into spring. great buy!!",5,1,0,General,Tops,Fine gauge,"['poncho', 'cute', 'love', 'plaid', 'check', 'design', 'colors', 'look', 'like', 'sorbet', 'cream', 'pair', 'well', 'turtleneck', 'jeans', 'pencil', 'skirt', 'heels', 'love', 'look', 'fall', 'roll', 'right', 'spring', 'great', 'buy']",Other,Good
43,89,67,Some things you should know...,"First, this is thermal ,so naturally i didn't expect super sheer, but it is. really sheer light fabric. i like it, but be prepared for considering who you might run into if you walk around the house in it. second, it is large. i ordered the size 0 and it's a nice oversized fit for my 5'3"" 125 pounds. i wouldn't want to go larger. along with being sheer, the fabric is easily stretched, which i don't mind in this case. finally, the color. it looks white on my monitor and shows a colorful blue dot",4,1,1,Initmates,Intimate,Sleep,"['first', 'thermal', 'naturally', 'expect', 'super', 'sheer', 'really', 'sheer', 'light', 'fabric', 'like', 'prepared', 'considering', 'might', 'run', 'walk', 'around', 'house', 'second', 'large', 'ordered', 'size', 'nice', 'oversized', 'fit', 'pounds', 'would', 'want', 'go', 'larger', 'along', 'sheer', 'fabric', 'easily', 'stretched', 'mind', 'case', 'finally', 'color', 'looks', 'white', 'monitor', 'shows', 'colorful', 'blue', 'dot']",Quality,Good
44,862,48,Beautiful!,"Tried this on today at my local retailer and had to have it. it is so comfortable and flattering. it's too bad the picture online has the model tucking it into the skirt because you can't see the ruching across the front. a little dressier alternative to a plain tee and reasonably priced for retailer. 5'8"""" and i generally wear a 6, the small fit well. will probably be back for the black!",5,1,9,General,Tops,Knits,"['tried', 'today', 'local', 'retailer', 'comfortable', 'flattering', 'bad', 'picture', 'online', 'model', 'tucking', 'skirt', 'ca', 'see', 'ruching', 'across', 'front', 'little', 'dressier', 'alternative', 'plain', 'tee', 'reasonably', 'priced', 'retailer', 'generally', 'wear', 'small', 'fit', 'well', 'probably', 'back', 'black']",Quality,Good
45,862,43,Love the two tone design,I bought this item from online... the fit on the model looked a little loose but when i got mine it seemed a bit tight! so i took it back to the store & ordered a larger size. for the sale price this is a great top.,4,1,0,General,Tops,Knits,"['bought', 'item', 'online', 'fit', 'model', 'looked', 'little', 'loose', 'got', 'mine', 'seemed', 'bit', 'tight', 'took', 'back', 'store', 'ordered', 'larger', 'size', 'sale', 'price', 'great', 'top']",Quality,Good
46,862,40,,I love this top. i wear it all the time.  the problem is that you can tell i wear it all the time as the fabric has started to fade.  i'd still recommend it as it is so comfortable.,5,1,0,General,Tops,Knits,"['love', 'top', 'wear', 'time', 'problem', 'tell', 'wear', 'time', 'fabric', 'started', 'fade', 'still', 'recommend', 'comfortable']",Both,Good
47,823,52,,"Very comfortable, material is good, cut out on sleeves flattering",5,1,0,General,Tops,Blouses,"['comfortable', 'material', 'good', 'cut', 'sleeves', 'flattering']",Quality,Good
48,910,56,Love the color!,"This sweater is perfect for fall...it's roomy, warm, super comfy and the color really pops.",5,1,0,General,Tops,Fine gauge,"['sweater', 'perfect', 'fall', 'roomy', 'warm', 'super', 'comfy', 'color', 'really', 'pops']",Other,Good
49,862,33,Love the embroidery!,"Really cute top! the embroidery on the collar & bib of this top is beautiful and unique, received lots of compliments & questions about where i got it. i'm rather busty up top and the medium fit well, a small probably would've fit better but it's still super adorable.",5,1,0,General,Tops,Knits,"['really', 'cute', 'top', 'embroidery', 'collar', 'bib', 'top', 'beautiful', 'unique', 'received', 'lots', 'compliments', 'questions', 'got', 'rather', 'busty', 'top', 'medium', 'fit', 'well', 'small', 'probably', 'would', 'fit', 'better', 'still', 'super', 'adorable']",Both,Good
50,862,46,Cute for fall,"This is a cute top that can transition easily from summer to fall. it fits well, nice print and it's comfortable. i tried this on in the store, but did not purchase it because the color washed me out. this is not the best color for a blonde. would look much better on a brunette. if this was in a different color i most likely would have purchased it.",4,1,1,General,Tops,Knits,"['cute', 'top', 'transition', 'easily', 'summer', 'fall', 'fits', 'well', 'nice', 'print', 'comfortable', 'tried', 'store', 'purchase', 'color', 'washed', 'best', 'color', 'blonde', 'would', 'look', 'much', 'better', 'brunette', 'different', 'color', 'likely', 'would', 'purchased']",Other,Good
